second,queries,ok,fail,fail_pct,wan_queries,wan_fail_pct,lan_queries,lan_fail_pct,top_errors
513,5,5,0,0.0,5,0.0,0,0,-
514,5,5,0,0.0,5,0.0,0,0,-
515,5,5,0,0.0,5,0.0,0,0,-
516,5,5,0,0.0,5,0.0,0,0,-
517,5,5,0,0.0,5,0.0,0,0,-
518,5,5,0,0.0,5,0.0,0,0,-
519,5,5,0,0.0,4,0.0,1,0.0,-
520,5,5,0,0.0,5,0.0,0,0,-
521,5,5,0,0.0,5,0.0,0,0,-
522,5,5,0,0.0,5,0.0,0,0,-
523,5,5,0,0.0,4,0.0,1,0.0,-
524,5,5,0,0.0,5,0.0,0,0,-
525,5,5,0,0.0,5,0.0,0,0,-
526,5,5,0,0.0,5,0.0,0,0,-
527,5,5,0,0.0,5,0.0,0,0,-
528,5,5,0,0.0,5,0.0,0,0,-
529,5,5,0,0.0,4,0.0,1,0.0,-
530,5,5,0,0.0,5,0.0,0,0,-
531,5,5,0,0.0,5,0.0,0,0,-
532,5,5,0,0.0,5,0.0,0,0,-
533,5,5,0,0.0,5,0.0,0,0,-
534,5,5,0,0.0,5,0.0,0,0,-
535,5,5,0,0.0,5,0.0,0,0,-
536,5,5,0,0.0,5,0.0,0,0,-
537,5,5,0,0.0,5,0.0,0,0,-
538,5,5,0,0.0,5,0.0,0,0,-
539,5,5,0,0.0,5,0.0,0,0,-
540,5,5,0,0.0,5,0.0,0,0,-
541,5,5,0,0.0,4,0.0,1,0.0,-
542,5,5,0,0.0,5,0.0,0,0,-
543,5,5,0,0.0,5,0.0,0,0,-
544,5,5,0,0.0,5,0.0,0,0,-
545,5,5,0,0.0,5,0.0,0,0,-
546,5,5,0,0.0,5,0.0,0,0,-
547,5,5,0,0.0,5,0.0,0,0,-
548,5,5,0,0.0,5,0.0,0,0,-
549,5,5,0,0.0,5,0.0,0,0,-
550,5,5,0,0.0,5,0.0,0,0,-
551,5,5,0,0.0,5,0.0,0,0,-
552,5,5,0,0.0,5,0.0,0,0,-
553,5,5,0,0.0,4,0.0,1,0.0,-
554,5,5,0,0.0,5,0.0,0,0,-
555,5,5,0,0.0,5,0.0,0,0,-
556,5,5,0,0.0,5,0.0,0,0,-
557,5,5,0,0.0,5,0.0,0,0,-
558,5,5,0,0.0,5,0.0,0,0,-
559,5,5,0,0.0,5,0.0,0,0,-
